,work_year,salary_in_usd,clusters,cluster
2996,2023,145900,1,pink
2997,2023,220000,0,light pink
2998,2023,175000,0,light pink
2999,2023,175000,0,light pink
3000,2023,150000,1,pink
3001,2023,145000,1,pink
3002,2023,130000,1,pink
3003,2023,115500,1,pink
3004,2023,73500,3,dark purple
3005,2023,150000,1,pink
3006,2023,135000,1,pink
3007,2023,150000,1,pink
3008,2023,85000,3,dark purple
3009,2023,210000,0,light pink
3010,2023,170000,0,light pink
3011,2023,160000,1,pink
3012,2023,108000,1,pink
3013,2023,115000,1,pink
3014,2023,110000,1,pink
3015,2023,220000,0,light pink
3016,2023,185000,0,light pink
3017,2023,182500,0,light pink
3018,2023,135000,1,pink
3019,2023,208500,0,light pink
3020,2023,165000,0,light pink
3021,2023,35000,3,dark purple
