,work_year,salary_in_usd,clusters,cluster
2269,2023,195000,0,light pink
2270,2023,204500,0,light pink
2271,2023,142200,1,pink
2272,2023,17000,3,dark purple
2273,2023,181500,0,light pink
2274,2023,112200,1,pink
2275,2023,204500,0,light pink
2276,2023,142200,1,pink
2277,2023,180000,0,light pink
2278,2023,162000,1,pink
2279,2023,150000,1,pink
2280,2023,100000,3,dark purple
2281,2023,250500,2,purple
2282,2023,166600,0,light pink
2283,2023,247500,2,purple
2284,2023,172200,0,light pink
2285,2023,247500,2,purple
2286,2023,172200,0,light pink
2287,2023,223290,0,light pink
2288,2023,131310,1,pink
2289,2020,44753,3,dark purple
2290,2023,35000,3,dark purple
2291,2023,53984,3,dark purple
2292,2023,226600,0,light pink
2293,2023,140100,1,pink
2294,2023,204500,0,light pink
2295,2023,142200,1,pink
2296,2023,220000,0,light pink
2297,2023,140000,1,pink
2298,2023,204600,0,light pink
2299,2023,126500,1,pink
2300,2023,135960,1,pink
2301,2023,70960,3,dark purple
2302,2023,128750,1,pink
2303,2023,86250,3,dark purple
2304,2023,110736,1,pink
2305,2023,92280,3,dark purple
2306,2023,131000,1,pink
2307,2023,88000,3,dark purple
2308,2023,185100,0,light pink
2309,2023,133300,1,pink
2310,2023,180000,0,light pink
2311,2023,150000,1,pink
2312,2023,90000,3,dark purple
2313,2023,75000,3,dark purple
2314,2023,130000,1,pink
2315,2023,73824,3,dark purple
2316,2023,61520,3,dark purple
2317,2023,115500,1,pink
2318,2023,73500,3,dark purple
2319,2023,125000,1,pink
2320,2023,85000,3,dark purple
2321,2023,80000,3,dark purple
2322,2023,70000,3,dark purple
2323,2023,260000,2,purple
2324,2023,160000,1,pink
2325,2023,105000,1,pink
2326,2023,80000,3,dark purple
2327,2023,150000,1,pink
2328,2023,95000,3,dark purple
2329,2023,204750,0,light pink
2330,2023,153550,1,pink
2331,2023,150000,1,pink
2332,2023,120000,1,pink
2333,2023,150000,1,pink
2334,2023,110000,1,pink
2335,2023,200000,0,light pink
2336,2023,141000,1,pink
2337,2023,230000,0,light pink
2338,2023,175000,0,light pink
2339,2023,150000,1,pink
2340,2023,120000,1,pink
2341,2023,207611,0,light pink
2342,2023,127876,1,pink
2343,2023,175000,0,light pink
2344,2023,135000,1,pink
